,Bkav,MicroWorld-eScan,VBA32,FireEye,CAT-QuickHeal,McAfee,Cylance,VIPRE,SUPERAntiSpyware,Sangfor,K7AntiVirus,Alibaba,K7GW,Cybereason,Arcabit,Invincea,Baidu,F-Prot,Symantec,TotalDefense,APEX,Avast,ClamAV,Kaspersky,BitDefender,NANO-Antivirus,Paloalto,AegisLab,Tencent,Endgame,TACHYON,Sophos,Comodo,F-Secure,DrWeb,Zillya,TrendMicro,McAfee-GW-Edition,Trapmine,CMC,Emsisoft,SentinelOne,Cyren,Jiangmin,Webroot,Avira,Fortinet,Antiy-AVL,Kingsoft,Microsoft,ViRobot,ZoneAlarm,Avast-Mobile,Cynet,AhnLab-V3,Acronis,BitDefenderTheta,ALYac,MAX,Ad-Aware,Malwarebytes,Zoner,ESET-NOD32,TrendMicro-HouseCall,Rising,Yandex,Ikarus,eGambit,GData,MaxSecure,AVG,Panda,CrowdStrike,Qihoo-360
overlay_append,0,0,0.02027027,0,0.033783784,0.074324324,0.101351351,0.155405405,0,0.074324324,0.013513514,0.222972973,0.013513514,0.060810811,0.027027027,0.013513514,0,0.027027027,0.006756757,0,0,0.074324324,0.013513514,0.033783784,0,0.060810811,0.222972973,0.189189189,0.148648649,0.006756757,0.040540541,0.195945946,0.175675676,0.040540541,0.040540541,0.162162162,0.168918919,0.128378378,0.027027027,0,0.033783784,0,0.02027027,0.054054054,0.141891892,0,0.013513514,0.006756757,0,0.054054054,0.047297297,0.027027027,0,0.006756757,0,0.033783784,0.006756757,0.047297297,0.006756757,0,0,0,0.006756757,0.175675676,0.128378378,0.081081081,0.040540541,0.040540541,0.033783784,0.135135135,0.054054054,0.114864865,0.060810811,0.060810811
upx_pack,0.042307692,0,0.011538462,0,0.038461538,0.084615385,0.069230769,0.088461538,0.007692308,0.046153846,0.026923077,0.084615385,0.030769231,0.084615385,0.015384615,0.042307692,0.007692308,0.069230769,0.084615385,0,0,0.034615385,0.096153846,0.019230769,0,0.015384615,0.073076923,0.084615385,0.107692308,0.069230769,0.015384615,0.057692308,0.057692308,0.1,0.046153846,0.107692308,0.042307692,0.115384615,0.030769231,0,0.023076923,0.065384615,0.069230769,0.023076923,0.111538462,0.092307692,0,0.084615385,0,0.007692308,0.003846154,0.015384615,0,0.053846154,0.026923077,0.084615385,0.003846154,0.034615385,0,0.019230769,0.107692308,0.011538462,0,0.038461538,0.007692308,0.053846154,0.073076923,0.019230769,0.003846154,0.034615385,0.011538462,0.057692308,0.088461538,0.080769231
upx_unpack,0,0,0.010695187,0.005347594,0.048128342,0.026737968,0.069518717,0.07486631,0,0.064171123,0.010695187,0.080213904,0.010695187,0.032085561,0.016042781,0,0,0.021390374,0.026737968,0,0,0.037433155,0,0.016042781,0.005347594,0.005347594,0.080213904,0.080213904,0.053475936,0.005347594,0,0.058823529,0.07486631,0.032085561,0.010695187,0.021390374,0.064171123,0.058823529,0.010695187,0,0.010695187,0,0,0.010695187,0.032085561,0.021390374,0,0.005347594,0,0.026737968,0.016042781,0.010695187,0,0.010695187,0,0.021390374,0,0.016042781,0,0,0.010695187,0,0.005347594,0.064171123,0.037433155,0.042780749,0.07486631,0.010695187,0.010695187,0.042780749,0.021390374,0.048128342,0.048128342,0.042780749
remove_signature,0.005263158,0,0.031578947,0.010526316,0.047368421,0.010526316,0.042105263,0.052631579,0,0.063157895,0.015789474,0.078947368,0.026315789,0.036842105,0.026315789,0,0,0.015789474,0.021052632,0,0,0.031578947,0,0.026315789,0.010526316,0.021052632,0.078947368,0.068421053,0.057894737,0.021052632,0,0.063157895,0.057894737,0.021052632,0.005263158,0.015789474,0.047368421,0.036842105,0.005263158,0,0.015789474,0.005263158,0,0,0.047368421,0,0,0.010526316,0,0.036842105,0.005263158,0.026315789,0,0,0,0.015789474,0.015789474,0.021052632,0,0,0,0,0,0.047368421,0.021052632,0.063157895,0.057894737,0.015789474,0.010526316,0.052631579,0.031578947,0.036842105,0.042105263,0.026315789
remove_debug,0.004975124,0,0.009950249,0.014925373,0.054726368,0,0.029850746,0.069651741,0,0.059701493,0.004975124,0.07960199,0,0.054726368,0.014925373,0,0,0.004975124,0.024875622,0,0,0.009950249,0,0.019900498,0,0.014925373,0.07960199,0.099502488,0.059701493,0.014925373,0,0.039800995,0.064676617,0.029850746,0.004975124,0.024875622,0.059701493,0.034825871,0.024875622,0,0.009950249,0,0.024875622,0,0.034825871,0.009950249,0,0.014925373,0,0.014925373,0.019900498,0.009950249,0,0,0,0.019900498,0,0.014925373,0,0,0.004975124,0,0,0.059701493,0.024875622,0.054726368,0.024875622,0.009950249,0.004975124,0.064676617,0.009950249,0.034825871,0.039800995,0.024875622
break_optional_header_checksum,0,0,0.014925373,0.004975124,0.034825871,0.004975124,0.059701493,0.029850746,0,0.034825871,0.004975124,0.039800995,0.009950249,0.029850746,0.004975124,0.014925373,0,0.034825871,0.009950249,0,0,0.034825871,0,0,0.004975124,0.004975124,0.049751244,0.034825871,0.029850746,0.004975124,0,0.039800995,0.054726368,0.014925373,0,0.009950249,0.034825871,0.034825871,0.039800995,0,0.009950249,0,0.014925373,0,0.029850746,0.004975124,0,0.014925373,0,0.019900498,0.029850746,0.004975124,0,0.004975124,0.004975124,0.014925373,0.004975124,0.019900498,0,0,0,0,0,0.029850746,0.024875622,0.064676617,0.029850746,0.004975124,0.014925373,0.044776119,0.024875622,0.029850746,0.004975124,0.024875622
inject_random_codecave,0.005208333,0,0.010416667,0.010416667,0.026041667,0.005208333,0.119791667,0.0625,0,0.041666667,0.010416667,0.072916667,0.010416667,0.072916667,0.052083333,0.015625,0,0.015625,0.015625,0,0,0.046875,0.005208333,0.010416667,0,0.010416667,0.067708333,0.067708333,0.03125,0.005208333,0,0.052083333,0.046875,0.041666667,0.015625,0.036458333,0.041666667,0.078125,0.010416667,0,0.010416667,0,0.010416667,0.005208333,0.046875,0.015625,0,0.015625,0,0.010416667,0,0.005208333,0,0.010416667,0.010416667,0.026041667,0,0.026041667,0,0,0.010416667,0,0,0.041666667,0.046875,0.03125,0.036458333,0.010416667,0.010416667,0.046875,0.026041667,0.005208333,0.03125,0.020833333
section_rename,0.005128205,0.015384615,0.035897436,0.071794872,0.097435897,0.030769231,0.123076923,0.061538462,0,0.056410256,0.041025641,0.174358974,0.035897436,0.061538462,0.082051282,0.076923077,0,0.025641026,0.076923077,0,0,0.128205128,0.01025641,0.051282051,0.020512821,0.015384615,0.158974359,0.158974359,0.123076923,0.020512821,0,0.097435897,0.102564103,0.056410256,0.041025641,0.025641026,0.117948718,0.087179487,0.035897436,0,0.041025641,0.01025641,0.020512821,0,0.061538462,0.020512821,0,0.025641026,0,0.071794872,0.061538462,0.035897436,0,0.01025641,0,0.046153846,0.01025641,0.061538462,0.025641026,0.01025641,0.030769231,0,0.01025641,0.123076923,0.097435897,0.061538462,0.107692308,0.030769231,0.056410256,0.087179487,0.066666667,0.061538462,0.071794872,0.056410256
pert_dos_stub,0,0,0.018779343,0.018779343,0.112676056,0.004694836,0.159624413,0.03286385,0.009389671,0.046948357,0.009389671,0.145539906,0.009389671,0.056338028,0.03286385,0.023474178,0,0.018779343,0.037558685,0,0.004694836,0.070422535,0.023474178,0.009389671,0,0.004694836,0.145539906,0.136150235,0.070422535,0.028169014,0,0.112676056,0.103286385,0.046948357,0.018779343,0.018779343,0.098591549,0.098591549,0.037558685,0,0.051643192,0,0.018779343,0.004694836,0.051643192,0.014084507,0.009389671,0.014084507,0,0.046948357,0.046948357,0,0,0,0,0.018779343,0.004694836,0.079812207,0.009389671,0,0.004694836,0,0,0.098591549,0.070422535,0.0657277,0.056338028,0.103286385,0.018779343,0.098591549,0.037558685,0.042253521,0.079812207,0.093896714
pert_bin_name,0,0,0.010204082,0.005102041,0.015306122,0.005102041,0.06122449,0.045918367,0,0.035714286,0.005102041,0.076530612,0.005102041,0.045918367,0,0,0,0,0.040816327,0,0,0.020408163,0,0.010204082,0,0.010204082,0.066326531,0.086734694,0.066326531,0.010204082,0,0.051020408,0.056122449,0.015306122,0.010204082,0.015306122,0.056122449,0.040816327,0.020408163,0,0,0.010204082,0.005102041,0,0.015306122,0.015306122,0,0.015306122,0,0.010204082,0.010204082,0.015306122,0,0.010204082,0.005102041,0.020408163,0,0.010204082,0,0,0.005102041,0,0,0.056122449,0.005102041,0.030612245,0.015306122,0.010204082,0.005102041,0.06122449,0.010204082,0.010204082,0.035714286,0.040816327
pert_optional_header_dllchlist,0.004065041,0.008130081,0.020325203,0.008130081,0.044715447,0.06504065,0.109756098,0.016260163,0.016260163,0.044715447,0.004065041,0.085365854,0.012195122,0.040650407,0.024390244,0.028455285,0,0.113821138,0.032520325,0,0,0.048780488,0.004065041,0.020325203,0.008130081,0.028455285,0.085365854,0.085365854,0.073170732,0.008130081,0,0.077235772,0.081300813,0.032520325,0.004065041,0.032520325,0.06097561,0.069105691,0.048780488,0,0.016260163,0,0.150406504,0,0.032520325,0.004065041,0,0.004065041,0,0.028455285,0.008130081,0.016260163,0,0.036585366,0.178861789,0.036585366,0,0.040650407,0.012195122,0.008130081,0,0,0.004065041,0.052845528,0.06097561,0.040650407,0.044715447,0.016260163,0.012195122,0.085365854,0.028455285,0.028455285,0.016260163,0.036585366
pert_optional_header_dllch,0,0.011494253,0.011494253,0.011494253,0.166666667,0.091954023,0.143678161,0.057471264,0.005747126,0.068965517,0.022988506,0.206896552,0.011494253,0.08045977,0.068965517,0.028735632,0,0.103448276,0.091954023,0,0,0.08045977,0.005747126,0.022988506,0.011494253,0.005747126,0.201149425,0.17816092,0.120689655,0.011494253,0,0.126436782,0.143678161,0.057471264,0.005747126,0.022988506,0.143678161,0.137931034,0.045977011,0,0.045977011,0.040229885,0.126436782,0.005747126,0.074712644,0.034482759,0.005747126,0.040229885,0,0.022988506,0.028735632,0.022988506,0,0.022988506,0.17816092,0.068965517,0.005747126,0.08045977,0.017241379,0.011494253,0.011494253,0,0.005747126,0.143678161,0.08045977,0.086206897,0.097701149,0.022988506,0.022988506,0.097701149,0.051724138,0.068965517,0.097701149,0.097701149
pert_rich_header,0.004975124,0,0.004975124,0.009950249,0.019900498,0.014925373,0.029850746,0.044776119,0,0.039800995,0.004975124,0.049751244,0.004975124,0.044776119,0.024875622,0,0,0.009950249,0.014925373,0,0,0.024875622,0.009950249,0.014925373,0.004975124,0.009950249,0.044776119,0.039800995,0.009950249,0.009950249,0,0.044776119,0.059701493,0.024875622,0.004975124,0.024875622,0.034825871,0.024875622,0.019900498,0,0.004975124,0.004975124,0.004975124,0,0.034825871,0.004975124,0,0.004975124,0,0.029850746,0.014925373,0.014925373,0,0,0,0.024875622,0.009950249,0.014925373,0.004975124,0,0.004975124,0,0,0.034825871,0.034825871,0.034825871,0.069651741,0.019900498,0.009950249,0.059701493,0.029850746,0.014925373,0.024875622,0.014925373
pert_dos_header,0.004405286,0.022026432,0.030837004,0.035242291,0.074889868,0.030837004,0.110132159,0.035242291,0.026431718,0.057268722,0.017621145,0.176211454,0.017621145,0.088105727,0.066079295,0.04845815,0,0.044052863,0.070484581,0,0,0.074889868,0.008810573,0.026431718,0.030837004,0.026431718,0.158590308,0.145374449,0.0969163,0.026431718,0,0.114537445,0.118942731,0.044052863,0.030837004,0.035242291,0.092511013,0.123348018,0.017621145,0,0.04845815,0,0.013215859,0.013215859,0.057268722,0.008810573,0,0.017621145,0,0.057268722,0.039647577,0.017621145,0,0.008810573,0,0,0.017621145,0.070484581,0.035242291,0.022026432,0.013215859,0.004405286,0.008810573,0.092511013,0.079295154,0.044052863,0.070484581,0.026431718,0.039647577,0.127753304,0.066079295,0.044052863,0.044052863,0.074889868
section_add,0.035714286,0.232142857,0.053571429,0.071428571,0.25,0.142857143,0.125,0.339285714,0.053571429,0.160714286,0.071428571,0.375,0.071428571,0.107142857,0.285714286,0.053571429,0,0.214285714,0.125,0.017857143,0,0.053571429,0,0.035714286,0.232142857,0.125,0.339285714,0.321428571,0.285714286,0,0.053571429,0.267857143,0.25,0.285714286,0.035714286,0.125,0.214285714,0.142857143,0.053571429,0,0.232142857,0,0.267857143,0.035714286,0.196428571,0.267857143,0.017857143,0.053571429,0,0.053571429,0.125,0.017857143,0,0.107142857,0.267857143,0.017857143,0.410714286,0.214285714,0.232142857,0.232142857,0.125,0,0.017857143,0.214285714,0.160714286,0.321428571,0.125,0.053571429,0.267857143,0.178571429,0.053571429,0.178571429,0.464285714,0.482142857
section_append,0.049586777,0.016528926,0.024793388,0.024793388,0.078512397,0.033057851,0.157024793,0.276859504,0,0.053719008,0.053719008,0.144628099,0.053719008,0.053719008,0.041322314,0.004132231,0,0.033057851,0.045454545,0,0.004132231,0.090909091,0.008264463,0.016528926,0.016528926,0.033057851,0.144628099,0.115702479,0.074380165,0.004132231,0.012396694,0.08677686,0.099173554,0.252066116,0.020661157,0.210743802,0.115702479,0.061983471,0.016528926,0,0.037190083,0.008264463,0.016528926,0.008264463,0.066115702,0.239669421,0,0.033057851,0,0.045454545,0.02892562,0.008264463,0,0.161157025,0.020661157,0.024793388,0.008264463,0.049586777,0.016528926,0.020661157,0.008264463,0,0.008264463,0.115702479,0.05785124,0.152892562,0.049586777,0.016528926,0.020661157,0.144628099,0.082644628,0.02892562,0.078512397,0.099173554
